Card List,Meaning,Circus relation
The Fool,"new beginnings, innocence, spontaneity, and a ""leap of faith"" into the unknown","Playful, whimsical, and childlike, white for innocence, flowers for new beginnings, flute for playful energy"
The Magician,"manifestation, willpower, and the ability to turn ideas into reality","One arm up one arm down, symbolizing duality, green for manifestation and wealth energy"
The High Preistess,"Intuition, subconscious, mystery, divine feminine.","Elevated in intuition between duality of white and black, stars on her body for connection to the universe, full moon on her crown to connect with Hecate and lunar cycles, book for the book of knowledge, purple scepter for intuitive power, blue robe for subconscious mind"
The Empress,"Abundance, fertility, nurturing, creativity.","Circle of life and fertility- Lyra, green fertility, fire- abundance, action energy, red lips - symbolize pomegranates "
The Emperor,"Structure, authority, stability, patriarch.","Authoritative stance, elevated in power, red for raw passion, action,  power"
The Hieropant,"Tradition, conformity, spiritual guidance, education.","Inverted to offer enlightenment and new knowledge, book is knowledge, white is represents spiritual purity, holiness, and clear, structured beliefs, red for passion, blue for emotional clarity "
The Lovers,"Relationships, alignment, choices, harmony.","love is love, positioning mirrors the higher self, white and black balancing masculine and feminine, partnership, choosing "
The Chariot,"Willpower, victory, focus, determination.","Determined stance in the Lyra to appear as though driving a chariot, dress represents intellect and optimism"
Strength,"Courage, persuasion, influence, inner strength.","dragon staff is akin to a lion, dress symbolizing spiritual wisdom and internal strength, stance represents stability and relying on inner strength "
The Hermit,"Introspection, solitude, guidance, soul-searching.","perched high up in the silks looking out into the darkness to symbolize searching within, colors representing wisdom, the subconscious, and solitude. "
Wheel of Fortune,"Cycles, luck, change, destiny.","Sun wheel spinning symbolizes inevitable cycles, the energy of intellect and the illuminating power of understanding, black lace to represent the intricisies and vastness of the universe and subconscious mind"
Justice,"Fairness, truth, cause and effect, law.","red on the sword to represent passion and power to enact justice, yellow to highlight mental energy and rational thought, pole to symbolize stability and scales for balance. Piercing gaze seeking the truth"
The Hanged Man ,"Surrender, new perspective, letting go, patience.","An ankle hang in Spanish web signifies surrender, new perspectives, crown to represent enlightenment, gold shorts highlighting divine wisdom"
Death,"Endings, transformation, transition, rebirth.","black for endings, white rose for purity of the soul and transformation, purple for alchemy, transition, and intuition, suspended in shibari to represent the transition from earth to another realm"
Temperance,"Balance, moderation, patience, purpose.","deep split to represent balance, white to symbolize, white for purity, blue for emotions and subconscious "
The Devil,"Materialism, addiction, bondage, shadow self.","the apple to represent the tree of knowledge and the first ""sin"", shibari to represent being bound and trapped, inverted cross to represent deviance, fire to represent hellfire "
The Tower,"Sudden change, upheaval, revelation, chaos.","black represents unknown, grey represents outdated thoughts and crumbling beliefs, falling pose symbolizes the tower actually toppling."
The Star,"Hope, faith, rejuvenation, inspiration.","Gold represents divine guidance, tipped hoop symbolizes subconscious mind, green represents fertility and abundance, free hanging representing hope"
The Moon,"Illusion, fear, anxiety, intuition.","grey represents intuition, white represents spiritual connections, blue crown represents emotions, spider represents divine feminine energy, "
The Sun,"Joy, success, vitality, positivity.","Gold represents joy, happiness, red represents vitality and action, the scepter represents confidence and courage ,the crown symbolizes sun rays- confidence, clarity. Elbow hang represents strength and vitality"
Judgement,"Reflection, awakening, absolution, decision.","Ballerina pose to represent moving forward, vulnerable people in front to represent trusting in judgement to lead to our highest good, horn as a call to action, white wings to represent purity, people recieving the message on the earth, blue for deep subconscious"
The World,"Completion, fulfillment, travel, harmony.","Purple Symbolizes spiritual attainment, divinity, wisdom, gold Represents enlightenment, joy, and the energy of the universe, pole represents the grounded energy of earth"
,,
Torches,,Fire
Ace of Torches,"Inspiration, creative spark, new ventures","forward motion in stance, red for action and vitality energy"
2 of Torches,"Planning, decisions between paths, personal power","one torch up and one torch down to symbolize choosing between two paths, confident expression for personal power, red for action energy"
3 of Torches,"Expansion abroad, foresight, trade/exploration","looking off into distance eluding to exploration, red for action energy, fan raised above head for expansion and foresight"
4 of Torches,"Celebration, homecoming, harmony, stability achieved","A couple representing union, stability and harmony, one knee for stability, wide stance for stability, red color for passion, gold for joy"
5 of Torches,"Competition, struggle, disagreement, chaos","fighting people depict confrontation, chaos, and tension, red for action and passion"
6 of Torches,"Victory, recognition, public success, confidence","body language depicts idolizing the person in the center for fame, success, and recognition energy, red for vitality and passion"
7 of Torches,"Defending position, standing ground, courage under pressure","body language depicting rising above someone/something, stern face shows personal power, red for action and passion"
8 of Torches,"Swift action, movement, messages, fast progress","fire hoop depict fast moving energy, red for action"
9 of Torches,"Resilience, persistence, last stand, nearly there","body language depicting exhaustion but still the will to push through, resilience, fire on either side to depict resilience as well."
10 of Torches,"Burden, overwhelm, responsibility, carrying too much","5 pairs of arms and 10 flames to show carrying too much, "
Page ,"Enthusiasm, new ideas, exploration, adventurous spirit","gold for joy, single flame beheld in wonder to depict excitement for new things "
Knight,"Passion, impulsiveness, adventure, charming energy, rapid pursuit","Flaming sword for action and rapid pursuit, red for action energy, green for a brave heart"
Queen,"Confidence, independence, determination, vibrant leadership, warmth","blue for emotional mastery, stance calm and confidence to represent mastery of "
King,"Visionary leadership, entrepreneurial, bold, charismatic authority","Contact staff for adventure and rapid pursuit, red for action energy"
,,
Cups,,Lyra- white for divine feminine 
Ace of Cups,"New love, emotional opening, spiritual fulfillment","Diving pose to embody white dove of divine inspiration and wisdom, pink to symbolize new love, Lyra to represent emotional fulfillment "
2 of Cups,"Partnership, romantic connection, mutual attraction","black and white to represent masculine and feminine, cradled in Lyra together to depict mutual connection and devotion"
3 of Cups,"Celebration, friendship, community joy","3 women representing community and joy, flowers for new life, green abundance and love, blue emotional fulfillment, orange joy and enthusiasm "
4 of Cups,"Apathy, contemplation, dissatisfaction despite having much","elbow hang in small Lyra to depict lack of emotional fulfillment in spite of opportunity, forlorn expression for apathy, black for dark night of the soul"
5 of Cups,"Loss, grief, disappointment, focusing on negative","elbow hang in big Lyra to depict immense grief, black for greif"
6 of Cups,"Nostalgia, innocence, childhood memories, reunion","Back balance in mini Lyra to depict safety and familiarity, white for purity and innocence of childhood "
7 of Cups,"Illusion, choices, fantasies, scattered energy","reclined body to show a day dreaming, blue for dreams and illusion"
8 of Cups,"Walking away, abandonment, emotional withdrawal, seeking deeper meaning","split away from pov to show abandonment, emotional withdrawal, white for "
9 of Cups,"Contentment, satisfaction, wish fulfillment, emotional abundance","deep arch over Lyra to show abundance and joy, rainbow costume for wish fulfillment "
10 of Cups,"Emotional fulfillment, happy family, lasting happiness, harmony","expecting mother and father to depict emotional fulfillment and marital bliss, mother cradled in hoop for emotional fullfillment, rainbow on her dress to show wish fulfillment, father watching over his partner for harmony and protection"
Page,"Emotional curiosity, creative beginning, gentle invitation, intuitive messages","blue for emotional curiosity, wine glass pose for inviting intuition, joy in facial expression to show emotional connection to new beginnings "
Knight ,"Romance, charm, idealism, emotional offers, artistic pursuit",inviting pose for welcoming energy
Queen,"Compassion, intuition, emotional maturity, nurturing love, psychic sensitivity","green for nurture, woman on the moon pose for emotional intelligence, pelvis necklace for emotional mastery and manifestation energy"
King,"Emotional balance, diplomatic, compassionate leadership, wise counselor","green abundance, blue clear communication of emotions and thoughts, red for action and passion, bones "
,,
Swords,,Silks- white for mental clarity
Ace of Swords,"Mental clarity, breakthrough, truth revealed","Mask resembles truth revealed, white for clarity and truth, fog for illusions falling away, honey comb and bee for new beginnings and honesty "
2 of Swords,"Difficult choice, stalemate, avoidance of truth","Blindfolded for lack of clarity, silks crossed to symbolize cross roads, feet pointed in two different directions to show indecision, blue for internernal wisdom (third eye), purple for divine wisdom and contemplation"
3 of Swords,"Heartbreak, sorrow, painful separation","red scarf to symbolize heart ache, white representing hope, pose depicting moving on through grief and healing through trauma."
4 of Swords,"Rest, recovery, temporary truce, meditation","Reclined position to reflect resting, being held in the air to symbolize truce and metaphorical death pff ""suspended animation"", eyes closed for introspection, Yellow/Gold: Divine, enlightened, conscious, active mind, healing energy, "
5 of Swords,"Defeat, betrayal, harsh victory, dishonor","deep blue represents internal conflict, splits up high reflects solitary victory, person walking away shows defeat "
6 of Swords,"Transition, moving forward, recovery, journey to calmer waters","physical position to represent the boat of passage and moving on, reclining to depict calm energy, sword in hand to remind it can be hard to see the bigger picture, white silks for hope"
7 of Swords,"Deception, strategy, sneakiness, getting away with something","position to depict avoiding conflict, yellow for mental energy involved, expression depicting pain of not facing your truth and running away, "
8 of Swords,"Restriction, feeling trapped, victim mentality, self-imposed limitation","Wrapped to depict feeling trapped by oneself, visible struggle, blue for unprocessed emotions"
9 of Swords,"Anxiety, worry, nightmares, mental anguish","anxious expression for worry and mental anguish, self imposed binding from unprocessed trauma, red for action repressed energy"
10 of Swords,"Rock bottom, ending, betrayal, painful conclusion","Slumped over to represent immense pain of betrayal, rock bottom, red for love and beauty, nine swords hanging above to depict unresolved issued"
Page,"Vigilance, curiosity, mental agility, truth-seeking, messages of challenges","position to depict awareness, assertiveness, expression to show truth seeking, purple for fast moving thoughts, silver for mental energy"
Knight,"Assertiveness, ambition, driven action, direct confrontation, rushing in","Position to show driven action, armor for strength"
Queen,"Perceptive, clear-minded, independent thinking, honest communication, direct truth","Blue to depict intellect and conscious mind, Highlights the mental energy, alertness, and active, forward-looking nature of her decisions, knighting the man to represent clear communication"
King,"Intellectual authority, logical, truth, ethical judgment, clear communication","head hang for intellectual power, decision making, and ethical judgement, grey to symbolize neutrality "
,,
Pentacles,,Pole
Ace of Pentacles,"New financial opportunity, material manifestation, prosperity seed","white to symbolize divine origin of the gift, low squat to symbolize root energy for manifestation of physical wealth"
2 of Pentacles ,"Juggling resources, adaptability, balance in change","two flaming feet to show juggling responsibilities and action energy, position for balance, red for action and passion"
3 of Pentacles ,"Teamwork, skill recognition, craftsmanship collaboration","two people working together to embody teamwork and collaboration , difficult pose for skill and craftsmanship, grey for structure and foundation"
4 of Pentacles,"Holding tight, security, possessiveness, conservation","Position and expression to depict control, holding tight for security, red for passion and materiality "
5 of Pentacles,"Hardship, poverty, exclusion, material/spiritual crisis","Bandaged Men struggling in foreground to show poverty and hardship, pole position to depict struggle, yellow for hope, red for drained vitality "
6 of Pentacles,"Generosity, charity, giving and receiving, balanced exchange","splits to represent balance, gold for wealth and status"
7 of Pentacles ,"Patience, long-term view, assessment of progress, cultivation","Position representing patience and endurance, flower crown and green skirt depicting hard work"
8 of Pentacles,"Dedication, craftsmanship, skill development, diligent work","Position to show skill from hard work, blue represents thoughtfullness and dedication to a skill "
9 of Pentacles ,"Independence, self-sufficiency, luxury, accomplishment achieved","silver symbolizes feminine energy and fertility, pentacles surrounding figure as enjoying the fruits of her labor"
10 of Pentacles ,"Legacy, wealth, family, inheritance, lasting security","Group of loved ones sharing wealth, lasting friendship and security, dog symbolizes companionship, "
Page ,"Practical learning, new financial venture, studious approach, manifestation begins","red for passion energy, position for grounded practical energy"
Knight,"Reliability, hard work, methodical progress, responsible action, steady routine","position for grounded and stable energy, red for passion, blue for clarity of purpose, armor for strength, black for protection and stability "
Queen,"Practical nurturing, financial security, down-to-earth wisdom, generous abundance","pink for compassion and nurturing, standing pose for stability, white rabbit for nurturing connection with nature "
King,"Material mastery, business success, abundance, reliable provider, Midas touch","red for power a,d luxury, stable pose for mastery, pentacle in hand for abundance and wealth"